name,address,domain,website,phone_number,whatsapp_link,category,location,reviews_count,reviews_average,latitude,longitude,status
Imobiliária Ápice - Fazenda Rio Grande,"R. França, 456 - Sala 2 - Nações, Fazenda Rio Grande - PR, 83823-006",apiceimoveis.com.br,https://www.apiceimoveis.com.br,(41) 98781-1792,https://wa.me/5541987811792,Imobiliária,"Eucaliptos, Fazenda Rio Grande",432,5.0,-25.6454551,-49.3173789,1
Invest Imóveis e Incorporações - Imobiliária em Fazenda Rio Grande,"Tv. Bélgica, 200 - Sala 05 - Nações, Fazenda Rio Grande - PR, 83823-012",investincorporacoes.com.br,https://www.investincorporacoes.com.br,(41) 99688-9384,https://wa.me/5541996889384,Imobiliária,"Eucaliptos, Fazenda Rio Grande",15,4.9,-25.651162,-49.3284644,1
Econômica Imóveis,"Av. Nossa Senhora Aparecida, 980 - Sala 06 - Santa Terezinha, Fazenda Rio Grande - PR, 83829-020",economicaimoveis.com.br,https://www.economicaimoveis.com.br,(41) 99501-8541,https://wa.me/5541995018541,Imobiliária,"Eucaliptos, Fazenda Rio Grande",33,4.4,-25.651162,-49.3284644,1
Pedroso Imóveis,"Av. Brasil, 2227 - Loja 01 - Eucaliptos, Fazenda Rio Grande - PR, 83820-470",pedrosoimoveisfrg.com.br,https://www.pedrosoimoveisfrg.com.br,(41) 99838-3735,https://wa.me/5541998383735,Imobiliária,"Eucaliptos, Fazenda Rio Grande",58,4.6,-25.6510203,-49.3252509,1
Real Valor Imóveis,"R. Inglaterra, 199 - Sala 04 - Eucaliptos, Fazenda Rio Grande - PR, 83820-000",realvalorimoveis.com,https://www.realvalorimoveis.com,(41) 3797-6770,https://wa.me/554137976770,Imobiliária,"Eucaliptos, Fazenda Rio Grande",107,4.9,-25.6510203,-49.3252509,1
Relevant Imóveis,"R. Castanheira, 598 - Eucaliptos, Fazenda Rio Grande - PR, 83820-056",relevantimoveis.com.br,https://www.relevantimoveis.com.br,(41) 99200-3551,https://wa.me/5541992003551,Imobiliária,"Eucaliptos, Fazenda Rio Grande",83,4.4,-25.6510203,-49.3252509,1
Definição Imóveis l Imobiliária em Fazenda Rio Grande,"Av. Brasil, 2695 - sala 06 - Nações, Fazenda Rio Grande - PR, 83823-050",definicaoimoveis.com.br,https://www.definicaoimoveis.com.br,(41) 99641-2502,https://wa.me/5541996412502,Imobiliária,"Eucaliptos, Fazenda Rio Grande",48,4.7,-25.6510203,-49.3252509,1
Inova Wlar Negócios Imobiliários,"R. Colômbia, 284 - Nações, Fazenda Rio Grande - PR, 83823-074",,,(41) 99728-5161,https://wa.me/5541997285161,Imobiliária,"Eucaliptos, Fazenda Rio Grande",11,4.6,-25.6510203,-49.3252509,1
Limorati CR Imóveis,"R. Inglaterra, 340 - Nações, Fazenda Rio Grande - PR, 83823-008",limoraticrimoveis.com.br,https://www.limoraticrimoveis.com.br,(41) 3070-4005,https://wa.me/554130704005,Imobiliária,"Eucaliptos, Fazenda Rio Grande",75,4.8,-25.6510203,-49.3252509,1
Fiorati Imóveis - Unidade Fazenda Rio Grande,"Av. Cedro, 194 - Eucaliptos, Fazenda Rio Grande - PR, 83820-004",,,(41) 3604-5999,https://wa.me/554136045999,Imobiliária,"Eucaliptos, Fazenda Rio Grande",4,5.0,-25.6510203,-49.3252509,1
AW Empreendimentos,"R. França, 230 - Eucaliptos, Fazenda Rio Grande - PR, 83820-029",,,(41) 3608-1160,https://wa.me/554136081160,Imobiliária,"Eucaliptos, Fazenda Rio Grande",43,4.4,-25.6510203,-49.3252509,1
MARTINI E MARTINI IMÓVEIS,"Cond. Green Field - Av. Tomaz Edson de Andrade Vieira, 121 - Eucaliptos, Fazenda Rio Grande - PR, 83820-701",imoveismartini.com.br,https://www.imoveismartini.com.br,(41) 98427-0420,https://wa.me/5541984270420,Imobiliária,"Eucaliptos, Fazenda Rio Grande",37,4.9,-25.6354753,-49.3104324,1
Imobiliária Nova Morada - Fazenda Rio Grande,"R. João Gregório Barbosa, 222 - Pioneiros, Fazenda Rio Grande - PR, 83833-050",novamoradarealizacoes.com.br,https://www.novamoradarealizacoes.com.br,(41) 99174-4716,https://wa.me/5541991744716,Imobiliária,"Eucaliptos, Fazenda Rio Grande",57,4.9,-25.6354753,-49.3104324,1
Iven soluções imobiliárias ltda.,"R. Goiabeira, 99 - Eucaliptos, Fazenda Rio Grande - PR, 83820-527",ivenimobiliaria.com.br,https://www.ivenimobiliaria.com.br,(41) 99146-7231,https://wa.me/5541991467231,Imobiliária,"Eucaliptos, Fazenda Rio Grande",1,5.0,-25.6492627,-49.3239908,1
Imobiliária Casagora - Fazenda Rio Grande,"R. Inglaterra, 376 - Nações, Fazenda Rio Grande - PR, 83823-008",casagoraimoveis.com.br,https://www.casagoraimoveis.com.br,(41) 3608-2002,https://wa.me/554136082002,Imobiliária,"Eucaliptos, Fazenda Rio Grande",129,4.6,-25.6492627,-49.3239908,1
NG Imóveis,"R. Pitangueira, 73 - sala 3 - Eucaliptos, Fazenda Rio Grande - PR, 83820-047",instagram.com,https://www.instagram.com,(41) 99822-9186,https://wa.me/5541998229186,Imobiliária,"Eucaliptos, Fazenda Rio Grande",15,5.0,-25.6492627,-49.3239908,1
D' Sampaio Imóveis,"Av. Cedro, 679 - sala 2 - Eucaliptos, Fazenda Rio Grande - PR, 83820-524",dsampaioimoveis.com.br,https://www.dsampaioimoveis.com.br,(41) 99616-1147,https://wa.me/5541996161147,Imobiliária,"Eucaliptos, Fazenda Rio Grande",43,5.0,-25.6492627,-49.3239908,1
R.CLEMENTE - Corretor de Imóveis,"R. Goiabeira, 99 - Eucaliptos, Fazenda Rio Grande - PR, 83820-029",,,(41) 99820-0119,https://wa.me/5541998200119,Imobiliária,"Eucaliptos, Fazenda Rio Grande",1,5.0,-25.6492627,-49.3239908,1
Boreal Imóveis | Imobiliária em Fazenda Rio Grande,"R. Manoel Claudino Barbosa, 1934 - Sala 01 - Iguaçu, Fazenda Rio Grande - PR, 83833-080",borealimoveisfrg.com.br,https://www.borealimoveisfrg.com.br,(41) 99118-7310,https://wa.me/5541991187310,Imobiliária,"Eucaliptos, Fazenda Rio Grande",22,5.0,-25.6503199,-49.3328787,1
D' Machado Imóveis - Fazenda Rio Grande - CRECI J8568,"R. Farid Stephens, 104 - Sala 01 - Pioneiros, Fazenda Rio Grande - PR, 83833-008",dmachadoimoveis.com.br,https://www.dmachadoimoveis.com.br,(41) 99938-2327,https://wa.me/5541999382327,Imobiliária,"Eucaliptos, Fazenda Rio Grande",16,4.9,-25.6503199,-49.3328787,1
Imobilíaria Gigante,"Green Field - Av. Tomaz Edson de Andrade Vieira, 478 - Eucaliptos, Fazenda Rio Grande - PR, 83820-701",,,(41) 99953-9383,https://wa.me/5541999539383,Imobiliária,"Eucaliptos, Fazenda Rio Grande",4,4.3,-25.6384717,-49.3091293,1
JMA Imóveis Fazenda Rio Grande,"R. César Carelli, 179 - Sala 03 - Segundo andar - Iguaçu, Fazenda Rio Grande - PR, 83833-054",jmasolucoesimobiliarias.com.br,https://www.jmasolucoesimobiliarias.com.br,(41) 99804-1974,https://wa.me/5541998041974,Imobiliária,"Eucaliptos, Fazenda Rio Grande",51,5.0,-25.6449657,-49.3325932,1
FNX imóveis,"Av. Cedro, 283 - Eucaliptos, Fazenda Rio Grande - PR, 83820-004",imoveisfnx.com.br,https://www.imoveisfnx.com.br,(41) 99627-0636,https://wa.me/5541996270636,Imobiliária,"Eucaliptos, Fazenda Rio Grande",1,5.0,-25.6449657,-49.3325932,1
Imobiliária Realiza Frg,"Tv. Bélgica, 174 - sala 3 - Nações, Fazenda Rio Grande - PR, 83823-012",realizafrgimobiliaria.com.br,https://www.realizafrgimobiliaria.com.br,(41) 99948-8907,https://wa.me/5541999488907,Imobiliária,"Eucaliptos, Fazenda Rio Grande",16,4.8,-25.6449657,-49.3325932,1
rmimoveisprime,"Green Field - R. Cypress, 115 - Eucaliptos, Fazenda Rio Grande - PR, 83820-065",rmimoveisprime.com.br,https://www.rmimoveisprime.com.br,,,Imobiliária,"Eucaliptos, Fazenda Rio Grande",1,5.0,-25.6449657,-49.3325932,1
Eliaquim Imóveis,"R. Espanha, 222 - Nações, Fazenda Rio Grande - PR, 83823-048",eliaquimimoveis.com,https://www.eliaquimimoveis.com,(41) 3060-2765,https://wa.me/554130602765,Imobiliária,"Eucaliptos, Fazenda Rio Grande",16,5.0,-25.6449657,-49.3325932,1
Karbelle Imóveis - Imobiliária em Fazenda Rio Grande,"Av. Tomaz Edson de Andrade Vieira, 168 - Sala 3 - Eucaliptos, Fazenda Rio Grande - PR, 83820-701",,,(41) 99121-1436,https://wa.me/5541991211436,Imobiliária,"Eucaliptos, Fazenda Rio Grande",16,4.4,-25.6449657,-49.3325932,1
Fortis Imóveis,"Av. Portugal, 413 - Sala 05 - Nações, Fazenda Rio Grande - PR, 83823-038",fortisimoveis.com.br,https://www.fortisimoveis.com.br,(41) 3627-1718,https://wa.me/554136271718,Imobiliária,"Eucaliptos, Fazenda Rio Grande",55,5.0,-25.635954,-49.3106241,1
VL Imóveis Frg,"Interforne 08, R. Itália, 120 - Sala 08 - Nações, Fazenda Rio Grande - PR, 83823-020",vlimoveisfrg.com.br,https://www.vlimoveisfrg.com.br,(41) 99847-3039,https://wa.me/5541998473039,Imobiliária,"Eucaliptos, Fazenda Rio Grande",64,4.9,-25.6573896,-49.3276684,1
Imobiliária Taborda,"Av. Araucárias, 422 - Eucaliptos, Fazenda Rio Grande - PR, 83820-068",imobiliariataborda.com.br,https://www.imobiliariataborda.com.br,(41) 99669-9140,https://wa.me/5541996699140,Imobiliária,"Eucaliptos, Fazenda Rio Grande",49,3.7,-25.6445996,-49.3261831,1
Ferreira Imoveis Fazenda Rio Grande,"Av. Carlos Eduardo Nichele - Pioneiros, Fazenda Rio Grande - PR, 83833-020",imobiliariaferreira.com,https://www.imobiliariaferreira.com,(41) 99926-9888,https://wa.me/5541999269888,Imobiliária,"Eucaliptos, Fazenda Rio Grande",6,4.3,-25.6445996,-49.3261831,1
Wsilva,"Av. Araucárias, 264 - Eucaliptos, Fazenda Rio Grande - PR, 83820-071",,,(41) 99869-9344,https://wa.me/5541998699344,Imobiliária,"Eucaliptos, Fazenda Rio Grande",2,5.0,-25.6445996,-49.3261831,1
Cleia Imóveis,"Av. Brasil, 1725 - Eucaliptos, Fazenda Rio Grande - PR, 83820-065",,,(41) 99807-1681,https://wa.me/5541998071681,Imobiliária,"Eucaliptos, Fazenda Rio Grande",4,5.0,-25.6445996,-49.3261831,1
Avanço Soluções Imobiliárias,"Av. Brasil, 2259 - sala 09 - Eucaliptos, Fazenda Rio Grande - PR, 83820-470",avancosolucoesimobiliarias.com.br,https://www.avancosolucoesimobiliarias.com.br,(41) 98424-1683,https://wa.me/5541984241683,Imobiliária,"Eucaliptos, Fazenda Rio Grande",8,5.0,-25.6445996,-49.3261831,1
Furmann Imoveis,"Av. Brasil, 797 - Eucaliptos, Fazenda Rio Grande - PR, 83820-262",furmannimoveis.com.br,https://www.furmannimoveis.com.br,(41) 3627-0215,https://wa.me/554136270215,Imobiliária,"Eucaliptos, Fazenda Rio Grande",4,3.0,-25.6445996,-49.3261831,1
FP Soluções Imobiliárias,"Av. Cedro, 194 - sala 02 - Eucaliptos, Fazenda Rio Grande - PR, 83820-004",sites.google.com,https://www.sites.google.com,(41) 99207-9972,https://wa.me/5541992079972,Imobiliária,"Eucaliptos, Fazenda Rio Grande",5,5.0,-25.6445996,-49.3261831,1
GREGÓRIO IMOBILIÁRIA,"Tv. Espatódias, 111 - Eucaliptos, Fazenda Rio Grande - PR, 83820-581",imoveisgregorio.com.br,https://www.imoveisgregorio.com.br,(41) 99788-3718,https://wa.me/5541997883718,Imobiliária,"Eucaliptos, Fazenda Rio Grande",15,3.4,-25.6445996,-49.3261831,1
Morar Bem,"Av. Brasil, 2247 - Eucaliptos, Fazenda Rio Grande - PR, 83820-470",,,(41) 98457-7529,https://wa.me/5541984577529,Imobiliária,"Eucaliptos, Fazenda Rio Grande",3,4.7,-25.6510692,-49.3252776,1
